0 1 2
136 79 43
137 79 43
138 79 80
139 32 15
140 15 32
141 33 62
141 33 62
142 33 62
143 33 62
144 3 81
144 3 50
144 3 27
145 50 47
146 20 62
146 20 62
147 20 62
148 20 62
149 68 27
150 47 50
151 52 3
152 27 3
153 35 3
154 80 38
155 35 62
156 38 80
157 50 68
158 8 3
159 68 50
160 8 62
161 82 21
162 29 22
163 26 25
164 17 3
165 26 24
166 13 3
166 13 8
166 13 35
166 13 40
166 13 4
167 17 56
167 17 15
167 17 54
168 73 5
169 8 13
170 14 77
171 54 17
172 56 17
173 68 74
174 35 13
175 68 48
176 68 3
177 1 73
178 68 74
179 73 1
180 11 83
181 73 1
182 84 85
183 84 42
184 53 3
185 69 86
185 86 69
186 84 42
187 33 62
188 68 85
189 84 42
190 33 15
190 33 61
191 33 15
192 61 33
193 12 15
194 42 62
195 31 21
196 24 62
196 24 51
196 24 3
196 24 8
197 1 73
198 76 84
199 51 24
200 74 1
201 1 74
202 64 67
203 76 50
204 86 57
205 3 24
206 4 13
207 50 76
208 76 50
209 69 86
210 3 13
211 46 1
212 73 5
213 5 73
214 26 45
215 77 27
216 76 19
217 54 56
218 21 86
219 8 24
220 32 87
220 32 7
221 86 21
222 42 33
223 77 27
224 77 14
225 21 56
225 21 84
225 21 88
225 21 76
225 21 89
225 21 68
225 21 86
225 21 90
225 21 47
225 21 85
225 21 69
225 21 48
226 76 19
227 84 21
228 86 21
229 89 21
230 48 21
231 67 64
232 12 31
232 12 25
233 47 21
234 76 19
235 68 21
236 76 21
237 77 14
238 21 56
238 21 69
238 21 88
238 21 76
238 21 86
238 21 90
238 21 84
238 21 89
239 76 21
240 31 12
241 86 21
242 89 21
243 84 21
244 14 77
245 77 14
246 45 63
247 72 5
248 72 15
248 72 5
248 72 71
249 77 26
249 77 15
249 77 39
249 77 38
249 77 66
249 77 24
249 77 3
250 27 77
251 27 69
252 59 69
253 1 2
254 2 1
255 35 62
255 35 3
255 35 20
256 27 80
257 80 27
258 38 34
259 63 44
260 38 34
261 62 38
261 62 20
261 62 27
261 62 59
261 62 39
261 62 69
261 62 72
261 62 9
261 62 64
261 62 15
261 62 26
261 62 3
261 62 68
261 62 91
261 62 80
261 62 79
262 59 62
263 19 86
264 86 19
265 33 15
266 77 27
267 80 62
268 1 74
269 45 43
270 3 35
271 3 62
272 80 62
273 9 62
274 69 84
275 25 12
276 68 62
277 79 62
278 15 33
279 29 63
280 18 3
281 18 3
282 69 76
283 76 50
284 75 50
285 50 76
286 10 7
287 76 50
288 29 42
289 74 1
290 7 10
291 19 66
291 19 18
291 19 7
291 19 90
291 19 1
291 19 38
291 19 67
291 19 9
291 19 17
291 19 91
292 74 9
292 74 92
292 74 14
292 74 65
292 74 72
293 7 19
294 1 19
295 65 74
295 76 19
295 76 93
296 13 1
297 1 13
298 14 74
299 1 13
300 17 1
301 4 48
302 1 17
303 73 72
304 22 94
305 9 74
306 3 85
307 9 17
308 9 19
309 85 3
310 15 33
311 88 21
312 15 33
313 88 21
314 15 62
315 15 17
316 18 19
316 48 4
317 48 4
318 27 62
319 69 84
320 72 73
320 72 62
321 72 74
322 9 66
322 9 67
323 13 1
324 13 1
325 4 48
326 1 13
327 33 5
328 69 95
329 61 96
330 85 21
331 13 65
332 4 65
333 65 13
334 42 29
335 12 15
336 15 12
337 42 22
338 88 15
338 88 61
338 88 96
338 88 12
339 50 75
340 65 13
341 15 32
342 32 15
343 13 65
344 26 45
345 26 62
346 88 61
346 88 96
346 88 12
346 88 15
347 32 30
348 75 50
349 32 30
350 67 9
351 67 9
351 67 66
352 67 19
353 13 65
354 33 15
355 33 46
355 33 58
355 33 22
355 33 42
355 33 93
356 83 63
357 83 63
358 65 13
359 83 63
360 83 11
361 32 30
361 32 97
362 70 75
363 20 62
364 63 22
365 15 33
366 86 19
367 86 40
368 42 64
368 42 63
368 42 22
369 42 43
370 63 42
371 45 62
372 22 98
373 75 70
374 63 62
375 63 45
376 56 54
377 63 37
378 63 29
379 63 83
380 63 83
381 63 83
382 33 42
383 66 19
384 66 9
385 98 22
386 86 19
387 32 7
388 59 72
389 74 4
390 46 1
391 4 74
392 1 46
393 32 30
394 33 15
395 37 63
396 37 63
397 90 18
398 1 46
399 90 21
400 90 21
401 69 76
402 90 19
403 85 68
404 69 84
405 68 85
406 76 69
407 69 84
408 76 84
409 99 18
410 99 21
411 99 93
412 38 67
413 1 5
413 1 6
413 1 7
413 1 2
413 1 3
413 1 8
413 1 9
413 1 10
413 1 11
413 1 12
413 1 13
413 1 14
413 1 15
413 1 4
413 1 16
413 1 17
414 18 90
415 96 15
415 96 61
415 96 12
416 33 42
417 63 37
418 17 19
419 42 33
420 100 98
421 100 42
422 100 21
423 61 96
424 39 62
425 15 96
426 33 42
427 17 9
428 3 13
428 3 66
428 3 67
428 3 8
428 3 35
428 3 4
428 3 68
428 3 69
428 3 85
428 3 17
429 66 3
430 35 3
431 54 15
431 54 10
432 13 3
433 83 63
434 29 7
435 7 29
436 92 74
437 7 29
438 17 3
439 15 66
440 66 15
441 46 1
442 29 7
443 8 3
444 67 3
445 83 15
445 83 5
446 67 38
447 17 15
447 17 56
447 17 54
448 38 36
449 10 54
450 54 17
451 42 7
452 56 17
453 56 88
454 56 21
455 56 21
456 68 3
457 7 42
458 63 83
459 32 87
460 27 81
460 27 101
460 27 93
460 27 102
461 101 27
462 43 42
463 93 27
464 13 3
465 72 15
466 42 33
467 3 66
468 42 27
469 68 64
470 42 7
471 33 15
472 87 32
473 15 33
474 84 85
475 15 54
476 15 17
476 15 83
477 56 54
478 27 81
479 54 56
480 87 74
481 7 22
482 87 74
483 87 74
484 42 27
485 29 23
486 23 29
487 29 42
488 91 19
489 91 62
490 91 80
491 15 7
491 15 1
492 26 32
493 1 15
494 7 15
495 69 64
496 66 3
497 48 56
498 91 23
498 91 50
499 12 96
500 56 48
501 91 63
502 69 64
503 91 64
504 76 53
505 103 52
506 74 104
507 69 76
508 103 83
509 15 56
510 4 3
511 52 103
512 48 53
513 42 29
514 88 56
515 24 25
515 24 32
516 32 24
517 54 33
518 25 24
519 33 54
520 76 50
521 52 103
522 103 52
523 93 19
524 56 15
525 70 53
526 86 68
526 86 90
527 86 53
528 76 69
529 4 81
529 4 3
529 4 13
529 4 35
530 4 27
530 4 93
530 4 101
531 93 4
532 101 4
533 12 72
533 12 15
534 13 4
535 56 81
535 56 15
535 56 54
536 54 56
537 72 12
538 33 83
539 56 81
539 56 15
539 56 54
540 72 73
540 72 74
541 33 5
542 54 15
543 54 56
544 33 61
545 4 3
545 4 35
545 4 81
545 4 93
545 4 101
545 4 27
546 101 4
547 93 4
548 61 33
549 7 80
550 3 4
551 59 69
551 59 86
551 59 84
551 59 76
551 59 88
551 59 67
551 59 94
551 59 68
551 59 56
551 59 85
551 59 89
551 59 48
551 59 47
551 59 2
552 3 4
553 4 18
554 27 4
555 80 64
556 27 4
557 75 50
558 69 76
559 75 50
560 54 56
561 56 54
562 64 80
563 84 69
564 83 33
565 35 4
566 83 33
567 38 32
568 35 4
569 83 103
570 56 61
570 56 96
570 56 15
571 70 53
572 52 103
572 52 105
573 61 56
574 22 94
575 105 52
576 48 47
577 48 47
578 4 106
579 103 52
580 48 47
581 18 4
582 86 19
583 94 22
584 96 56
585 103 105
586 105 103
587 3 13
588 13 3
589 19 18
590 19 18
591 94 22
592 74 1
593 84 42
594 94 22
595 18 19
595 18 107
595 18 108
595 18 55
595 18 99
595 18 109
595 18 110
595 18 111
595 18 57
596 51 3
596 51 35
596 51 8
597 59 68
597 59 56
597 59 84
597 59 88
597 59 47
597 59 94
597 59 69
597 59 85
597 59 86
597 59 89
597 59 48
597 59 76
597 59 2
598 1 74
599 3 51
600 45 63
601 19 18
602 25 26
603 81 56
604 81 56
604 81 4
605 81 4
606 15 56
607 22 94
608 47 48
609 75 50
610 15 12
611 15 72
612 1 74
613 83 103
614 88 18
615 84 76
616 63 45
617 85 3
618 55 18
619 38 13
619 38 15
619 38 39
620 103 83
621 66 59
622 85 48
623 59 66
624 53 31
625 48 85
626 72 15
627 4 86
627 4 35
628 69 86
629 64 66
629 64 67
630 35 4
631 69 76
632 73 72
633 86 4
634 13 35
635 50 76
636 76 50
637 13 4
638 1 85
639 84 86
639 84 76
639 84 69
639 84 89
639 84 88
640 86 19
641 48 47
642 76 50
643 75 1
644 1 75
645 76 69
646 85 1
647 50 76
648 76 50
649 1 75
650 20 35
651 75 1
652 47 48
653 42 112
654 112 42
655 13 17
656 72 73
657 18 1
657 18 7
657 18 47
658 8 51
659 1 18
660 27 3
660 27 15
660 27 66
660 27 26
660 27 13
660 27 39
660 27 62
661 3 27
662 26 27
663 53 70
664 1 18
665 53 76
666 53 48
667 47 18
668 7 18
669 54 15
669 54 61
670 53 70
671 15 56
672 3 77
672 3 8
672 3 66
673 66 3
674 4 13
675 3 8
675 3 18
675 3 13
675 3 50
675 3 53
675 3 35
675 3 51
675 3 52
676 68 85
677 52 3
678 8 3
679 26 25
680 8 3
681 50 47
682 26 45
683 83 30
684 56 15
685 30 83
686 68 85
687 61 54
688 69 84
689 50 75
690 47 50
691 104 18
691 104 109
691 104 57
692 39 27
693 15 56
693 15 56
694 15 54
695 75 50
696 68 85
697 50 75
698 74 1
699 53 3
700 94 22
701 59 94
701 59 67
702 21 86
703 86 21
704 68 85
705 59 67
705 59 94
706 50 75
707 38 37
708 68 85
709 38 37
710 38 22
711 68 85
712 112 77
713 69 86
713 69 76
714 59 67
714 59 94
715 86 40
715 86 75
715 86 49
715 86 27
715 86 93
715 86 101
716 84 69
717 1 13
717 1 4
717 1 5
717 1 6
717 1 7
717 1 2
717 1 3
717 1 8
717 1 9
717 1 10
717 1 11
717 1 12
717 1 14
717 1 15
717 1 16
717 1 17
718 1 6
718 1 7
718 1 2
718 1 10
718 1 11
718 1 12
718 1 13
718 1 4
718 1 16
719 1 38
720 18 1
721 18 104
722 18 3
723 13 27
724 13 3
725 13 35
725 13 17
725 13 3
725 13 4
726 13 17
727 13 17
728 35 3
729 96 15
729 96 61
729 96 12
730 33 34
731 27 64
732 61 96
733 75 50
734 75 50
735 34 33
736 94 2
737 113 21
738 64 27
739 15 96
740 64 27
741 3 66
741 3 67
741 3 8
741 3 35
741 3 13
741 3 4
741 3 68
741 3 85
741 3 69
741 3 17
742 13 3
743 4 3
744 52 3
745 8 3
746 3 52
747 64 42
748 3 52
748 3 62
748 3 20
749 94 9
749 94 92
749 94 65
749 94 14
750 52 3
751 4 53
752 35 3
753 7 22
754 67 3
755 72 67
756 12 96
757 100 7
758 35 13
759 66 3
760 50 13
760 50 54
760 50 15
761 32 112
762 53 4
763 50 76
764 42 64
765 76 50
766 76 50
767 56 68
768 68 3
769 68 56
770 68 56
771 15 50
772 13 50
773 103 114
774 15 5
774 15 83
774 15 61
775 54 50
776 27 64
777 112 9
778 54 50
778 54 15
779 43 79
780 17 15
780 17 54
780 17 56
781 17 3
782 54 17
783 56 17
784 56 88
785 104 18
785 104 109
785 104 57
786 88 56
787 42 63
788 80 31
788 80 67
788 80 66
789 66 80
790 31 80
791 9 112
792 51 3
793 7 1
794 67 80
795 1 7
796 84 19
797 77 112
798 67 115
799 1 38
800 2 68
800 2 94
800 2 69
800 2 56
800 2 85
800 2 86
800 2 84
800 2 89
800 2 48
800 2 76
800 2 88
800 2 47
800 2 32
800 2 59
801 32 2
802 84 2
803 89 2
804 59 2
805 88 89
805 88 69
806 48 2
807 88 2
808 56 2
809 42 64
809 42 62
810 47 2
811 1 7
812 38 22
813 76 2
814 3 66
815 82 50
816 48 4
817 37 38
818 54 15
819 47 68
820 38 66
821 66 64
822 50 82
823 64 42
824 68 47
825 67 115
826 26 45
827 86 2
828 66 38
829 7 1
830 18 104
831 64 66
832 72 67
833 92 65
833 92 9
833 92 116
834 37 38
835 64 9
836 9 64
837 80 79
837 80 18
837 80 9
837 80 63
837 80 42
837 80 104
837 80 45
837 80 72
837 80 69
837 80 68
837 80 91
837 80 62
837 80 27
838 104 80
839 4 48
840 4 35
841 42 22
842 27 80
843 42 80
844 76 53
845 76 9
846 68 2
847 9 80
848 68 80
849 66 3
850 9 14
851 7 30
851 7 22
851 7 31
851 7 38
851 7 55
851 7 15
851 7 3
851 7 51
851 7 29
851 7 63
851 7 90
851 7 35
851 7 115
851 7 70
851 7 1
851 7 27
851 7 43
851 7 59
851 7 44
851 7 81
851 7 32
851 7 58
851 7 57
851 7 83
851 7 72
851 7 42
851 7 8
851 7 24
851 7 14
851 7 100
851 7 13
851 7 20
851 7 33
851 7 34
851 7 4
851 7 45
851 7 68
851 7 6
851 7 117
851 7 74
851 7 105
851 7 67
852 24 7
853 68 7
854 59 7
855 1 7
856 3 7
857 105 7
858 115 7
859 58 7
860 82 50
861 18 80
862 6 7
863 45 7
864 6 8
865 6 8
866 109 104
867 79 80
868 27 7
869 29 7
870 90 7
871 109 104
872 109 18
873 55 7
874 109 82
875 4 7
876 63 7
877 63 80
878 81 56
878 81 15
879 33 83
880 30 7
881 13 7
882 42 7
883 56 81
884 109 18
885 33 7
886 35 7
886 15 9
887 9 15
888 35 4
889 68 53
890 15 81
891 70 7
892 65 59
893 4 1
893 4 7
894 65 59
895 18 3
895 18 51
896 50 76
897 76 50
898 64 66
899 30 33
899 30 15
899 30 54
900 30 3
900 30 8
900 30 17
901 8 7
902 30 3
902 30 17
902 30 20
902 30 35
903 8 30
904 74 7
905 30 33
905 30 15
905 30 54
905 30 5
906 43 7
907 30 39
908 30 35
909 64 66
910 30 7
910 30 32
911 32 30
911 24 27
912 7 30
913 61 15
914 54 30
914 54 30
915 41 81
916 38 32
917 32 26
918 38 37
919 27 81
919 27 32
919 27 47
919 27 15
919 27 24
919 27 26
919 27 38
919 27 64
919 27 42
919 27 117
919 27 3
919 27 72
919 27 68
919 27 69
919 27 56
919 27 39
919 27 83
919 27 80
919 27 62
919 27 67
919 27 66
920 24 27
921 3 27
922 84 27
923 68 62
924 94 83
924 94 26
924 94 59
924 94 30
925 64 27
926 33 30
927 68 27
928 53 76
929 42 27
930 64 42
931 94 2
932 3 8
932 3 52
932 3 18
932 3 53
932 3 50
932 3 35
932 3 51
932 3 13
932 3 20
932 3 83
933 72 80
934 42 64
935 52 3
936 53 68
937 53 3
938 32 27
939 38 63
939 38 22
940 3 30
941 56 27
941 3 30
942 3 18
943 8 3
944 83 63
945 83 7
946 15 56
947 59 9
947 59 14
947 59 67
948 56 15
949 15 7
950 47 68
951 33 15
951 33 61
951 33 118
951 33 5
951 33 117
952 13 3
953 15 17
953 15 54
954 61 33
955 3 77
955 3 66
955 3 18
955 3 51
956 67 59
957 67 7
958 67 27
959 38 37
959 38 36
959 38 1
960 83 63
961 18 3
962 18 3
963 8 1
963 8 7
964 1 8
965 35 30
966 39 27
967 39 30
968 7 8
969 27 66
969 27 3
969 27 56
969 27 39
969 27 38
969 27 80
969 27 64
969 27 67
969 27 15
969 27 72
969 27 68
969 27 69
969 27 90
969 27 62
969 27 24
969 27 26
969 27 83
969 27 25
969 27 31
969 27 42
969 27 9
970 39 29
971 80 27
972 27 24
973 3 27
974 66 80
975 66 80
976 35 30
977 47 27
978 66 80
979 66 80
980 56 27
981 66 27
982 64 42
983 66 27
984 66 64
985 39 27
986 20 7
987 25 27
988 3 35
988 3 20
988 3 50
988 3 8
988 3 51
988 3 52
988 3 18
988 3 13
988 3 53
989 20 13
989 20 3
990 52 3
991 20 3
992 3 20
993 38 37
993 38 36
994 68 53
995 68 27
996 68 47
997 54 15
998 39 27
999 35 1
999 35 7
999 35 3
1000 42 27
1001 63 83
1002 63 83
1003 1 35
1004 35 51
1005 66 67
1006 66 3
1007 42 79
1007 42 87
1007 42 112
1008 42 22
1008 42 98
1008 42 37
1008 42 63
1009 27 39
1010 42 43
1011 42 64
1012 7 35
1013 100 7
1014 68 53
1015 22 42
1016 112 42
1017 38 37
1018 53 3
1019 3 35
1020 37 38
1021 9 67
1021 9 66
1022 67 27
1023 67 9
1024 37 42
1025 48 53
1026 88 61
1026 88 96
1026 88 12
1026 88 15
1027 42 64
1028 59 67
1029 47 50
1030 9 27
1031 66 9
1032 35 1
1032 35 7
1032 35 3
1033 38 62
1034 3 35
1035 1 35
1036 90 27
1037 50 47
1038 87 42
1039 13 20
1040 38 37
1041 13 3
1042 15 54
1043 90 64
1044 85 2
1045 10 7
1046 15 54
1046 15 54
1047 15 33
1048 31 27
1049 64 90
1050 7 10
1051 47 50
1052 81 41
1053 31 7
1054 51 7
1055 51 18
1056 54 15
1057 85 3
1058 7 10
1059 51 3
1060 51 3
1061 51 3
1062 27 90
1063 26 27
1064 53 68
1065 53 48
1066 26 27
1067 26 24
1068 26 32
1069 81 88
1069 81 27
1070 24 27
1071 37 38
1072 10 7
1073 26 32
1074 53 84
1075 38 30
1076 27 81
1077 23 45
1078 45 23
1079 88 81
1080 38 37
1081 13 17
1082 37 38
1083 29 39
1084 38 37
1085 17 30
1086 17 30
1087 8 3
1088 38 37
1089 18 3
1090 70 75
1091 54 29
1091 54 56
1091 54 27
1091 54 15
1091 54 61
1091 54 96
1091 54 119
1091 54 120
1091 54 88
1091 54 39
1092 61 54
1093 29 54
1094 20 3
1095 20 62
1096 76 19
1097 15 30
1098 15 30
1099 84 86
1100 96 54
1101 39 54
1102 69 62
1103 88 54
1104 56 54
1105 68 7
1106 68 85
1107 59 9
1107 59 14
1108 27 54
1109 79 43
1110 33 30
1111 72 9
1111 72 92
1111 72 14
1111 72 65
1112 76 13
1113 83 27
1114 83 3
1115 83 27
1116 59 9
1116 59 14
1117 64 80
1118 72 71
1118 72 74
1118 72 73
1119 92 65
1120 3 83
1121 43 42
1122 15 7
1122 15 1
1123 67 66
1124 1 15
1125 80 27
1126 67 66
1126 67 80
1127 42 87
1128 42 43
1129 42 37
1130 7 15
1131 34 7
1132 42 112
1133 42 22
1134 22 42
1135 42 22
1136 15 27
1137 15 27
1138 62 27
1139 15 27
1140 84 19
1141 69 76
1141 69 84
1142 45 80
1142 38 1
1143 7 35
1144 83 3
1145 38 72
1146 38 7
1147 38 36
1148 38 69
1148 38 68
1148 38 56
1149 15 54
1150 38 9
1151 15 54
1152 15 66
1153 9 66
1153 9 67
1154 67 9
1155 9 14
1155 9 65
1155 9 92
1156 65 9
1157 66 9
1158 9 67
1158 9 66
1159 67 9
1160 66 15
1161 84 53
1161 84 40
1162 66 9
1163 22 2
1164 85 68
1165 13 76
1165 13 4
1166 40 13
1166 40 84
1167 18 55
1167 18 107
1167 18 108
1167 18 110
1167 18 57
1167 18 109
1167 18 99
1167 18 111
1167 18 19
1168 13 40
1169 4 13
1170 35 3
1171 35 3
1172 96 15
1172 96 61
1172 96 12
1173 27 62
1174 87 42
1175 87 42
1176 13 40
1177 61 96
1178 33 5
1178 33 15
1178 33 12
1178 33 61
1178 33 117
1178 33 118
1179 61 33
1180 55 18
1181 92 9
1182 72 27
1183 72 27
1184 1 10
1184 1 7
1185 7 1
1186 1 10
1186 1 7
1187 1 10
1187 1 7
1188 33 117
1189 63 22
1189 63 42
1189 63 98
1190 3 66
1190 3 8
1190 3 35
1190 3 13
1190 3 4
1190 3 67
1190 3 68
1190 3 69
1190 3 17
1191 98 63
1192 13 3
1193 17 3
1194 2 22
1195 12 33
1196 7 1
1197 7 1
1198 35 3
1199 10 1
1200 10 1
1201 10 1
1202 15 96
1202 15 33
1203 14 7
1204 7 14
1205 14 32
1206 32 14
1207 42 63
1208 120 54
1209 50 27
1209 50 3
1210 24 45
1211 45 24
1212 53 84
1213 7 68
1214 45 63
1215 12 96
1216 66 3
1217 15 12
1217 15 61
1218 12 15
1219 4 3
1220 61 15
1221 3 50
1222 33 83
1223 101 93
1224 93 101
1225 17 15
1225 17 56
1225 17 54
1226 15 17
1227 56 17
1228 56 88
1229 68 85
1230 76 13
1231 76 13
1232 88 56
1233 54 17
1234 63 45
1235 1 10
1235 1 7
1236 7 1
1237 10 1
1238 35 81
1239 8 3
1240 13 70
1241 69 84
1242 59 69
1242 59 84
1242 59 89
1242 59 76
1242 59 47
1242 59 94
1242 59 68
1242 59 56
1242 59 85
1242 59 86
1242 59 48
1242 59 88
1242 59 2
1243 68 53
1244 69 86
1244 69 68
1244 69 84
1244 69 76
1244 69 72
1245 80 18
1246 18 80
1247 20 13
1248 13 20
1249 84 40
1250 68 7
1251 54 15
1252 56 94
1253 79 42
1254 84 53
1255 3 81
1256 20 3
1257 43 42
1258 20 3
1259 20 30
1260 69 84
1261 38 1
1262 20 28
1263 32 7
1264 76 53
1265 70 13
1266 15 54
1267 83 18
1268 70 4
1269 18 83
1270 22 7
1271 7 22
1272 27 50
1273 38 1
1274 83 15
1275 20 35
1276 94 9
1276 94 92
1276 94 65
1276 94 14
1277 80 18
1278 21 76
1279 18 80
1280 76 21
1281 53 84
1282 1 38
1283 53 76
1284 92 65
1285 65 9
1286 90 27
1287 9 65
1288 4 70
1289 9 38
1290 38 36
1291 19 57
1291 19 57
1291 19 57
1291 19 57
1292 90 64
1293 94 56
1294 94 92
1294 94 65
1294 94 14
1294 94 9
1295 36 9
1295 36 38
1296 75 50
1297 59 67
1298 68 3
1299 32 87
1300 68 7
1301 9 36
1302 31 25
1303 80 72
1303 80 69
1303 80 59
1303 80 66
1304 50 48
1305 66 80
1306 64 80
1307 64 80
1308 24 26
1308 24 83
1308 24 15
1308 24 66
1309 42 79
1310 48 50
1311 42 43
1312 59 80
1313 26 24
1314 31 25
1315 13 121
1316 36 38
1317 3 13
1317 3 50
1317 3 53
1317 3 51
1317 3 52
1317 3 8
1317 3 35
1317 3 20
1318 4 13
1318 4 69
1319 52 3
1320 13 4
1321 50 27
1322 13 3
1323 121 106
1324 86 4
1324 86 70
1325 4 13
1325 4 86
1325 4 69
1325 4 35
1326 2 94
1327 86 4
1328 94 2
1329 13 4
1330 53 3
1331 35 3
1332 8 3
1333 38 1
1334 38 1
1335 18 80
1336 59 80
1336 59 66
1336 59 67
1337 80 18
1338 21 88
1339 88 21
1340 72 80
1341 45 63
1342 42 27
1343 15 24
1344 88 15
1345 15 88
1346 88 15
1347 18 115
1348 18 19
1349 115 18
1350 1 7
1351 19 18
1352 7 1
1353 84 53
1354 76 50
1355 6 106
1356 53 84
1357 25 31
1358 31 25
1359 50 76
1360 76 50
1361 92 65
1361 92 9
1361 92 116
1362 92 65
1362 92 9
1362 92 116
1363 92 65
1363 92 9
1363 92 116
1364 7 68
1365 38 72
1365 38 9
1365 38 56
1365 38 68
1365 38 69
1366 68 7
1367 115 67
1368 88 81
1368 88 27
1369 54 12
1370 12 54
1371 72 80
1372 27 50
1373 69 84
1374 92 65
1374 92 9
1374 92 116
1375 92 65
1375 92 9
1375 92 116
1376 70 48
1376 70 68
1377 48 70
1378 35 4
1379 64 113
1379 64 23
1380 23 64
1381 35 3
1382 70 53
1383 59 95
1384 3 35
1385 18 69
1386 70 104
1386 70 95
1386 70 87
1386 70 112
1386 70 13
1386 70 82
1386 70 49
1387 112 70
1388 87 70
1389 13 70
1390 70 40
1391 70 38
1391 70 36
1391 38 70
1392 104 70
1392 3 35
1392 3 51
1392 3 8
1393 27 80
1394 59 72
1394 59 67
1395 18 37
1395 18 27
1395 18 38
1395 18 1
1395 38 18
1396 37 18
1397 37 18
1398 1 18
1399 18 55
1399 18 19
1400 18 37
1401 35 3
1402 19 18
1403 13 17
1404 82 70
1405 35 20
1406 20 3
1407 79 65
1407 79 92
1408 80 90
1409 13 3
1410 72 15
1411 15 88
1412 88 15
1413 3 13
1414 8 3
1415 95 70
1416 3 50
1417 49 70
1418 59 80
1418 59 66
1418 59 67
1419 68 7
1420 50 3
1420 50 53
1421 50 75
1422 3 50
1423 38 37
1424 76 53
1425 63 45
1426 86 50
1427 3 13
1428 90 80
1429 90 68
1429 90 85
1430 55 18
1431 75 50
1432 92 9
1432 92 65
1432 92 116
1433 15 88
1434 27 18
1435 83 24
1436 104 18
1436 104 109
1436 104 57
1437 104 18
1437 104 109
1437 104 57
1438 38 37
1439 68 90
1440 88 15
1441 68 50
1442 17 13
1443 50 68
1444 68 85
1445 68 50
1446 85 90
1447 85 18
1448 86 59
1448 86 69
1448 86 94
1449 69 76
1450 84 80
1450 84 69
1451 69 86
1452 69 80
1453 69 68
1454 108 18
1455 108 18
1456 84 69
1457 108 18
1458 108 18
1459 111 70
1460 38 1
1461 68 70
1462 68 67
1462 68 66
1462 68 3
1462 68 72
1462 68 15
1462 68 9
1462 68 65
1462 68 92
1462 68 69
1462 68 56
1463 77 22
1464 3 13
1465 18 85
1466 13 3
1467 18 104
1468 18 55
1469 18 104
1470 18 55
1471 13 65
1471 13 3
1471 13 8
1471 13 40
1472 96 15
1472 96 61
1472 96 12
1473 121 13
1474 4 65
1475 3 13
1476 3 13
1476 3 4
1476 3 8
1476 3 35
1477 8 13
1478 35 3
1479 8 3
1480 13 3
1481 109 104
1481 110 18
1482 110 18
1483 109 104
1484 61 96
1485 14 31
1486 4 3
1487 15 72
1488 15 96
1489 4 13
1490 13 4
1491 55 18
1492 72 15
1493 55 18
1494 50 86
1495 86 50
1496 3 67
1496 3 8
1496 3 4
1496 3 68
1496 3 69
1496 3 17
1496 3 66
1496 3 35
1496 3 13
